S4Yx30-clique-rcom-normalized,S9Yx15-clique-rcom-normalized,S12Y3x10-clique-rcom-normalized,S24Y6x5-clique-rcom-normalized,S120Y30-clique-rcom-normalized,Sc_S4Yx30-clique-rcom-normalized,SSYx50-clique-rcom-normalized,YSx75-clique-rcom-normalized,Yx150-clique-rcom-normalized,YYSx50-clique-rcom-normalized
0.241687272,0.267677809,0.344443557,0.903851513,0.150154367,0.211466828,0.139166237,0.2072151,0.290434831,0.26641611
0.234438458,0.292715093,0.117580634,0.169273367,0.637834933,0.292979194,0.250654517,0.277543733,0.166064208,0.197989336
0.194523124,0.231806702,0.255969239,0.188983809,0.556804594,0.271184993,0.293391127,0.189940185,0.318747182,0.250388256
0.187526191,0.264799519,0.329381333,0.238572039,0.137865175,0.294268074,0.24405125,0.221632361,0.24393673,0.192264148
0.183100866,0.17843475,0.163992205,0.119042824,0.096001078,0.374835775,0.234601941,0.279204089,0.293840376,0.243046962
0.178306969,0.2172319,0.184270062,0.328604955,0.119441848,0.321194708,0.237350231,0.307202945,0.272568953,0.199139125
0.223671856,0.193108261,0.283420587,0.310227973,0.235041421,0.26809451,0.256891718,0.165461238,0.264760528,0.247315215
0.259618639,0.239776853,0.203886429,0.557171586,0.168674964,0.383492067,0.228795725,0.223164402,0.219277628,0.07922328
0.20737274,0.298049239,0.244023546,0.121855292,0.148618696,0.215759074,0.242578103,0.270371237,0.307277903,0.209731544
0.244037549,0.33839366,0.251803466,0.223928838,0.199191577,0.579989922,0.075111217,0.257625985,0.288269158,0.205589977
0.229629926,0.180397801,0.203453738,0.062291113,0.167331333,0.239577467,0.300819576,0.2753415,0.314015834,0.192619691
0.222697825,0.22593435,0.235690488,0.289198151,0.145825695,0.267936751,0.133377402,0.297845649,0.29798631,0.266968576
0.230601919,0.130036155,0.157759426,0.233505409,0.134589093,0.306379403,0.274083562,0.26391762,0.266806373,0.033459707
0.236158224,0.200586453,0.245896134,0.395554648,0.094386712,0.203270352,0.239079472,0.293355711,0.27919716,0.061413028
0.235624809,0.158455069,0.258346663,0.209989835,0.679449588,0.365922428,0.241182853,0.213885699,0.279638494,0.08550529
0.281267714,0.258934997,0.253556257,0.373619108,0.142161595,0.290357735,0.262911902,0.143201249,0.1733767,0.254515826
0.373527964,0.23952961,0.17082306,0.255233338,0.225895059,0.241007499,0.240181347,0.106758248,0.195212881,0.224510694
