A1-LCD-clique-rcom-normalized,FUS-LCD-clique-rcom-normalized,EWSR1-LCD-clique-rcom-normalized,TIA1-LCD-clique-rcom-normalized
0.212855051,0.149354099,0.21674287,0.173618407
0.194168414,0.222815371,0.265927169,0.288460771
0.221550679,0.189892998,0.261064028,0.2644819
0.119376409,0.187079433,0.35130457,0.271574097
0.225192711,0.238615337,0.117111721,0.179516042
0.356507677,0.360577264,0.223731501,0.132098888
0.243421501,0.302364105,0.264732548,0.936074403
0.222474191,0.200236797,0.333182185,0.94264837
0.244950537,0.254109521,0.259181407,0.917779905
0.294135628,0.240547724,0.226134811,0.388450896
0.182005528,0.180659002,0.246773029,0.121902611
0.105826987,0.341572489,0.166792878,0.171877696
0.152133335,0.302656118,0.293833342,0.153221476
0.290501618,0.255807496,0.257748656,0.067278807
0.215218122,0.309447983,0.192319514,0.235286317
0.126962407,0.274371943,0.34241961,0.187288458
0.380757841,0.212901423,0.248219804,0.126550251
0.106162125,0.150898259,0.194683054,0.16969764
0.21457031,0.259674738,0.151751416,0.196030893
0.310470164,0.308249977,0.276846183,0.238803174
0.33479559,0.298272306,0.328834106,0.222536769
0.230869662,0.138229843,0.33333119,0.283523726
0.317108884,0.168222514,0.279934123,0.293302221
0.308643319,0.235144157,0.226573957,0.298133801
0.149847992,0.2790163,0.265262517,0.183557017
0.320914049,0.237653029,0.28337808,0.23564838
0.364909254,0.203197522,0.333231062,0.27326052
0.203026511,0.214696993,0.218673441,0.217795878
0.242789675,0.064654216,0.26575324,0.231944368
0.272984147,0.175222328,0.21723775,0.202439599
0.056689056,0.229142379,0.3281846,0.164278374
0.132455753,0.248875597,0.329767208,0.22831829
0.284809789,0.255325421,0.218834033,0.085261597
0.236944499,0.225035476,0.29361532,0.150484547
0.378097176,0.186638766,0.277214582,0.267564762
0.187094704,0.232163573,0.27842871,0.240047825
0.358682128,0.257043,0.321325427,0.261817566
0.289296864,0.122930333,0.303864291,0.1104897
0.369433417,0.298916102,0.273462197,0.141044417
0.178253109,0.103362022,0.22256512,0.251944577
0.182023494,0.214386365,0.203939244,0.235322324
0.317113247,0.236879827,0.239879966,0.136180291
0.143033674,0.292053138,0.195589851,0.168021255
0.093480974,0.192942404,0.285757921,0.224264382
0.404952937,0.153542462,0.276080034,0.237724392
0.191080379,0.270098115,0.201294285,0.286398065
0.422327751,0.179594006,0.254651354,0.26310683
0.237992633,0.286210514,0.246179924,0.266215922
0.102542107,0.196102912,0.220054575,0.183422787
0.116086619,0.188968267,0.149635743,0.122507017
0.233782552,0.241187922,0.354000532,0.094725844
0.143018332,0.179971845,0.206863047,0.158700138
0.145084115,0.062274846,0.185919888,0.164376235
0.290415419,0.207462396,0.187972925,0.169456461
0.107877865,0.330396636,0.253635152,0.25092875
0.271522176,0.253519409,0.252788594,0.208708737
0.177944867,0.250902268,0.226031853,0.205996851
0.120965999,0.178266401,0.285828705,0.047631796
0.127203658,0.209448263,0.270634452,0.152680521
0.167126984,0.174412759,0.267450766,0.168730009
0.218979249,0.137312612,0.142852067,0.177905571
0.213161415,0.179406475,0.301567154,1.0045776
0.225406731,0.19207313,0.142686331,0.156438114
0.201099028,0.226568426,0.215609716,0.108635637
0.179440599,0.04207067,0.327962783,0.110920194
0.234965421,0.050231356,0.162355069,0.300562353
0.245965412,0.044902359,0.220688348,0.199996566
0.313119379,0.218574841,0.270632109,0.317739038
0.326398939,0.053209826,0.266670242,0.190518834
0.168478041,0.199667642,0.308932206,0.130525444
0.230439442,0.21518119,0.268179203,0.181485579
0.342619071,0.233675624,0.208431259,0.168322574
0.104606417,0.172531303,0.233887723,0.273263288
0.245152409,0.068125577,0.276813636,0.105826513
0.364630884,0.20439663,0.354869889,0.231426921
0.216882685,0.24869606,0.24602472,0.222549625
0.220056503,0.21192565,0.2071692,0.231112983
0.337452857,0.226130821,0.32822499,0.129512344
0.214526077,0.160299132,0.244079413,0.078775423
0.25790958,0.134532594,0.314752011,0.0511675
0.261797912,0.201832636,0.164365817,0.256045564
0.197654448,0.233572649,0.205335593,0.199217915
0.419520963,0.222419957,0.257226202,0.202492438
0.424156749,0.303882601,0.206181218,0.224873875
0.203298601,0.197024772,0.14878064,0.187454613
0.185656462,0.192817723,0.239070378,0.024165029
0.205857041,0.076521323,0.215224124,0.041098155
0.230681439,0.068200362,0.21891402,0.125499128
0.197632921,0.224605283,0.341204746,0.137720059
0.135639788,0.211042477,0.292331051,0.126618911
0.305147323,0.257753186,0.269443713,0.235213058
0.244475799,0.131640952,0.349910475,0.260742322
0.110916951,0.145459377,0.221189047,0.209523178
0.274377161,0.228528788,0.254245039,0.148001194
0.228132185,0.263342213,0.274708848,0.296703088
0.090359801,0.292591737,0.182762975,0.12445537
0.105438696,0.075740076,0.282862956,0.135295351
0.262972418,0.201374935,0.250374586,0.256486574
0.234281931,0.25695334,0.394437879,0.238339654
0.265683318,0.230877998,0.162580593,0.139959419
0.17149987,0.073133308,0.225109798,0.055737503
0.224794971,0.181040505,0.23573888,0.236096185
0.192183008,0.24896301,0.214066812,0.328580543
0.198933608,0.173338838,0.303493939,0.204543315
0.210211665,0.229045097,0.279594416,0.155750915
0.137909873,0.107005559,0.381881347,0.12824904
0.212912584,0.278309721,0.320144249,0.186384787
0.173901053,0.180372506,0.278079622,0.099674622
0.151749195,0.167027545,0.228860782,0.278384053
0.179298025,0.303342613,0.284844572,0.168772891
0.178365403,0.274883137,0.194005107,0.16439583
0.227282516,0.240357199,0.242621913,0.310735769
0.210353725,0.229833868,0.322826698,0.17537562
0.217393558,0.210746595,0.279035582,0.069658225
0.228324342,0.318625136,0.305874225,0.198579968
0.232532843,0.228650998,0.214376315,0.261784029
0.143160008,0.276263575,0.14310796,0.146242584
0.248190808,0.075251858,0.214989592,0.205915756
0.230935368,0.263254704,0.225944759,0.200247099
0.252197419,0.234837117,0.142217153,0.185875739
0.24952398,0.180657582,0.268167761,0.130171679
0.216101604,0.120452513,0.195986633,0.389214232
0.2205445,0.253082964,0.248281366,0.083630477
0.142475429,0.175718659,0.299205575,0.370757131
0.276215499,0.293850065,0.313890576,0.142715237
0.196732438,0.322249288,0.15422002,0.094065043
