A1_log10_norm_cb,A1_log10_norm_cb_err,A1_log10_norm_rg,A1_log10_norm_rg_err,FUS_log10_norm_cb,FUS_log10_norm_cb_err,FUS_log10_norm_rg,FUS_log10_norm_rg_err,EWSR1_log10_norm_cb,EWSR1_log10_norm_cb_err,EWSR1_log10_norm_rg,EWSR1_log10_norm_rg_err,TIA1_log10_norm_cb,TIA1_log10_norm_cb_err,TIA1_log10_norm_rg,TIA1_log10_norm_rg_err,fh_0.02_log10_norm_cb,fh_0.02_log10_norm_cb_err,fh_0.02_log10_norm_rg,fh_0.02_log10_norm_rg_err,fh_0.14_log10_norm_cb,fh_0.14_log10_norm_cb_err,fh_0.14_log10_norm_rg,fh_0.14_log10_norm_rg_err,fh_0.22_log10_norm_cb,fh_0.22_log10_norm_cb_err,fh_0.22_log10_norm_rg,fh_0.22_log10_norm_rg_err
-1.943999827,0.000473557,-1.208161114,0.005877053,-1.975076269,0.000569399,-1.248943607,0.005324382,-2.01885115,0.000517517,-1.36763429,0.005315727,-1.962722459,0.000446266,-1.109985198,0.006080268,-1.778310866,0.00060663,-1.326242557,0.007321618,-1.915044459,0.000576701,-1.366464451,0.006846409,-1.98614216,0.000543599,-1.357684067,0.007304949
-1.919313471,0.000529438,-1.215475914,0.006181981,-1.947576928,0.000543785,-1.247267803,0.005422811,-1.993207534,0.000523541,-1.350690312,0.00504894,-1.937321808,0.000478542,-1.106330961,0.005914369,-1.75405991,0.00069485,-1.3389622,0.006910772,-1.890746132,0.000686888,-1.360330563,0.006871766,-1.962792537,0.000670489,-1.371694367,0.007008835
-1.893641898,0.000498044,-1.213408288,0.005717378,-1.919909292,0.00054258,-1.227270893,0.005260542,-1.966134463,0.000457684,-1.34597286,0.005262269,-1.91337201,0.00050764,-1.101604214,0.005603722,-1.724819657,0.000767549,-1.320888268,0.007211756,-1.868149416,0.000580913,-1.323432348,0.007621654,-1.937244371,0.00062084,-1.346721699,0.007056689
-1.865145634,0.000549655,-1.204217287,0.005961162,-1.893286874,0.000500082,-1.232541877,0.005934518,-1.94042648,0.00046702,-1.340175779,0.005444424,-1.885496887,0.000479281,-1.117456931,0.005876448,-1.699308386,0.000619353,-1.317257497,0.007736846,-1.841939443,0.00067854,-1.336344955,0.008043692,-1.910677172,0.000663347,-1.343954353,0.0064692
-1.838612597,0.000580002,-1.200499787,0.005984767,-1.865108477,0.000586305,-1.221649291,0.005399143,-1.914937753,0.000599187,-1.344995324,0.005559393,-1.858403967,0.000510065,-1.090756886,0.006020685,-1.674980342,0.000714767,-1.329244245,0.007582707,-1.81388415,0.00079127,-1.335035734,0.007604697,-1.886413608,0.000643007,-1.339097661,0.007148728
-1.808574771,0.000585842,-1.189509429,0.005412594,-1.835332891,0.00059411,-1.214781933,0.005412333,-1.886822426,0.000523193,-1.343495593,0.005376587,-1.830857588,0.000574284,-1.087988814,0.006008005,-1.646676552,0.000715606,-1.323931682,0.006935243,-1.784908983,0.000638511,-1.323927292,0.007201431,-1.863617194,0.000640645,-1.356825717,0.006819311
-1.777651099,0.000612335,-1.189478539,0.005869786,-1.806114612,0.000592896,-1.221060128,0.005514394,-1.852261355,0.000753229,-1.332610864,0.00532403,-1.801968021,0.000580379,-1.101464743,0.005586622,-1.61553631,0.00088692,-1.317045624,0.007452416,-1.760068333,0.000662607,-1.317572386,0.008259257,-1.837052378,0.000646336,-1.340575528,0.00703379
-1.74024806,0.000840506,-1.17775775,0.00575391,-1.773069543,0.000759842,-1.212278549,0.005360715,-1.815159313,0.000675991,-1.31069339,0.005393997,-1.769070109,0.000639857,-1.080085147,0.006144907,-1.580998043,0.000929821,-1.316855181,0.007389621,-1.732255451,0.000828293,-1.318723811,0.007604837,-1.813079977,0.000594826,-1.34095081,0.006621583
-1.702417314,0.000684304,-1.168302674,0.005821008,-1.73645419,0.000683151,-1.212171062,0.005254623,-1.781667163,0.000749627,-1.326866945,0.005189454,-1.73407155,0.000779983,-1.076085042,0.005434833,-1.543394006,0.000918028,-1.30445663,0.006969937,-1.700839308,0.000832048,-1.315442295,0.008219291,-1.788831108,0.000759041,-1.328816705,0.007463166
-1.663989445,0.000835865,-1.166756104,0.005304532,-1.695513834,0.000976018,-1.191083561,0.005248528,-1.73645225,0.000927816,-1.301894432,0.005242113,-1.694680798,0.000814581,-1.07827793,0.005767578,-1.505589719,0.001008922,-1.301792887,0.007030251,-1.667932874,0.000818988,-1.305153165,0.007083063,-1.758662527,0.000839517,-1.336492504,0.007251908
-1.612666819,0.001113041,-1.150441935,0.005828025,-1.647129875,0.001121598,-1.175249594,0.005316581,-1.684579504,0.001052705,-1.291695554,0.005065706,-1.653207484,0.000921608,-1.063620464,0.005470387,-1.459131239,0.001327387,-1.281633844,0.007343601,-1.635084328,0.000876836,-1.304353528,0.006921312,-1.726972664,0.000870396,-1.316103361,0.006331946
-1.538130482,0.001827361,-1.150059503,0.005507201,-1.582828307,0.001449036,-1.167101013,0.005204861,-1.620645957,0.001669697,-1.285325151,0.004831082,-1.603414838,0.00111843,-1.061055029,0.005116436,-1.396336353,0.001982333,-1.282492983,0.007233453,-1.596011182,0.001159706,-1.292063455,0.006454979,-1.691532841,0.00101518,-1.320164693,0.007163294
-1.397047491,0.004494834,-1.106975259,0.004836375,-1.452650114,0.004396922,-1.140829554,0.005018379,-1.479056137,0.004875872,-1.241781097,0.004931454,-1.538438345,0.001593784,-1.054841947,0.005241581,-1.271635436,0.006200767,-1.245136389,0.007148148,-1.550897964,0.00126917,-1.288383919,0.006355711,-1.649947139,0.001106419,-1.305426871,0.007174699
