A1_log10_norm_cb,A1_log10_norm_cb_err,A1_log10_k2,A1_log10_k2_err,FUS_log10_norm_cb,FUS_log10_norm_cb_err,FUS_log10_k2,FUS_log10_k2_err,EWSR1_log10_norm_cb,EWSR1_log10_norm_cb_err,EWSR1_log10_k2,EWSR1_log10_k2_err,TIA1_log10_norm_cb,TIA1_log10_norm_cb_err,TIA1_log10_k2,TIA1_log10_k2_err,fh_0.02_log10_norm_cb,fh_0.02_log10_norm_cb_err,fh_0.02_log10_k2,fh_0.02_log10_k2_err,fh_0.14_log10_norm_cb,fh_0.14_log10_norm_cb_err,fh_0.14_log10_k2,fh_0.14_log10_k2_err,fh_0.22_log10_norm_cb,fh_0.22_log10_norm_cb_err,fh_0.22_log10_k2,fh_0.22_log10_k2_err
-1.943999827,0.000473557,-0.371679827,0.016987026182345828,-1.975076269,0.000569399,-0.405432597,0.015162495252541736,-2.01885115,0.000517517,-0.431775293,0.015223389147551603,-1.962722459,0.000446266,-0.37130573,0.015937855,-1.778310866,0.00060663,-0.381630431,0.020030069336671934,-1.915044459,0.000576701,-0.445366183,0.022546611099336082,-1.98614216,0.000543599,-0.421165147,0.022138997391546823
-1.919313471,0.000529438,-0.387247452,0.016767628,-1.947576928,0.000543785,-0.3917102,0.015791511,-1.993207534,0.000523541,-0.40685204,0.014627364975610046,-1.937321808,0.000478542,-0.359554675,0.015670286,-1.75405991,0.00069485,-0.396132766,0.020409630133080232,-1.890746132,0.000686888,-0.43668508,0.023515129638281843,-1.962792537,0.000670489,-0.447356086,0.021539547522399165
-1.893641898,0.000498044,-0.381968905,0.015658006,-1.919909292,0.00054258,-0.373348409,0.015549011013835934,-1.966134463,0.000457684,-0.387738105,0.014445269180113596,-1.91337201,0.00050764,-0.34842833,0.014573293442453096,-1.724819657,0.000767549,-0.394585485,0.019890566521750194,-1.868149416,0.000580913,-0.386011343,0.021470836074598067,-1.937244371,0.00062084,-0.401324266,0.020665095085316165
-1.865145634,0.000549655,-0.374926634,0.016726382,-1.893286874,0.000500082,-0.397404811,0.015684471,-1.94042648,0.00046702,-0.39449643,0.014275879,-1.885496887,0.000479281,-0.382067423,0.015500104,-1.699308386,0.000619353,-0.363209592,0.021158262891742278,-1.841939443,0.00067854,-0.410320735,0.022523758630946057,-1.910677172,0.000663347,-0.379199997,0.019181959
-1.838612597,0.000580002,-0.362490632,0.015980917775060114,-1.865108477,0.000586305,-0.359230475,0.014417176585042569,-1.914937753,0.000599187,-0.403175166,0.016963980344884992,-1.858403967,0.000510065,-0.3477319,0.016287444407964098,-1.674980342,0.000714767,-0.386087091,0.020333002,-1.81388415,0.00079127,-0.406806006,0.022364285587851137,-1.886413608,0.000643007,-0.386697407,0.02167661
-1.808574771,0.000585842,-0.346355828,0.013430026464748756,-1.835332891,0.00059411,-0.356687573,0.015923537849262683,-1.886822426,0.000523193,-0.400993826,0.019713131099849467,-1.830857588,0.000574284,-0.332117868,0.014209086,-1.646676552,0.000715606,-0.400499344,0.019963197435673957,-1.784908983,0.000638511,-0.398996085,0.021826709,-1.863617194,0.000640645,-0.41907597,0.020387164726549244
-1.777651099,0.000612335,-0.355593298,0.016898053,-1.806114612,0.000592896,-0.387074133,0.015078869215758343,-1.852261355,0.000753229,-0.361411022,0.01596401,-1.801968021,0.000580379,-0.350378399,0.015348142453419662,-1.61553631,0.00088692,-0.379643152,0.019937474,-1.760068333,0.000662607,-0.379049046,0.027959143817486383,-1.837052378,0.000646336,-0.39092493,0.018690134443236705
-1.74024806,0.000840506,-0.326939681,0.014319700832890638,-1.773069543,0.000759842,-0.358977306,0.013558573838697815,-1.815159313,0.000675991,-0.341212395,0.013247971599354993,-1.769070109,0.000639857,-0.318156476,0.016365774535464592,-1.580998043,0.000929821,-0.398090709,0.017555296,-1.732255451,0.000828293,-0.360771718,0.020087496428889424,-1.813079977,0.000594826,-0.384593454,0.018894256
-1.702417314,0.000684304,-0.320188979,0.015018593598466775,-1.73645419,0.000683151,-0.378450099,0.013848586180265311,-1.781667163,0.000749627,-0.361303215,0.015284179943996407,-1.73407155,0.000779983,-0.316536932,0.013015323796383184,-1.543394006,0.000918028,-0.365758803,0.021659647127323833,-1.700839308,0.000832048,-0.391089186,0.022870551214808587,-1.788831108,0.000759041,-0.375547244,0.018651048054966073
-1.663989445,0.000835865,-0.313790023,0.013255735534219085,-1.695513834,0.000976018,-0.32850624,0.015757381067591694,-1.73645225,0.000927816,-0.337608215,0.014115246,-1.694680798,0.000814581,-0.326865526,0.014778588568299564,-1.505589719,0.001008922,-0.383020693,0.018997392430983962,-1.667932874,0.000818988,-0.334472737,0.018463010015577742,-1.758662527,0.000839517,-0.382062469,0.020339454928307816
-1.612666819,0.001113041,-0.31742822,0.014773698501648502,-1.647129875,0.001121598,-0.312028569,0.013231428291415733,-1.684579504,0.001052705,-0.30984705,0.013545459414778532,-1.653207484,0.000921608,-0.30020934,0.013889244018805216,-1.459131239,0.001327387,-0.327951102,0.018908836,-1.635084328,0.000876836,-0.368901533,0.020095418708885517,-1.726972664,0.000870396,-0.344621762,0.019879600868427952
-1.538130482,0.001827361,-0.318138484,0.014285376,-1.582828307,0.001449036,-0.311780289,0.014150554,-1.620645957,0.001669697,-0.322784621,0.013381512028493546,-1.603414838,0.00111843,-0.305222563,0.013318809790734963,-1.396336353,0.001982333,-0.358675566,0.018615964210583934,-1.596011182,0.001159706,-0.352593297,0.018098895999839843,-1.691532841,0.00101518,-0.366851682,0.019702950407816854
-1.397047491,0.004494834,-0.256573867,0.011479667284662003,-1.452650114,0.004396922,-0.277475161,0.011928354559690999,-1.479056137,0.004875872,-0.297938972,0.01383143,-1.538438345,0.001593784,-0.308371314,0.013067442472732088,-1.271635436,0.006200767,-0.30131568,0.016225068306867273,-1.550897964,0.00126917,-0.363303715,0.018909404238921124,-1.649947139,0.001106419,-0.358351352,0.022832909127233375
