A1-LCD-hub-displacement-angstrom,FUS-LCD-hub-displacement-angstrom,EWSR1-LCD-hub-displacement-angstrom,TIA1-LCD-hub-displacement-angstrom
12.21249731,27.71439694,21.32534386,23.44967515
29.90769525,25.47430837,18.56127301,19.4389047
41.15077585,11.82671447,24.87122917,31.16363071
23.77343585,12.81253253,19.35662544,38.50474242
45.2179947,12.75536638,16.69389841,26.09788281
41.7545479,19.46489518,23.51359514,41.64184496
52.05618271,29.21637537,23.79195077,45.81187864
33.85073443,32.49602043,17.66981947,27.62808456
26.93599434,27.7307015,11.02556415,24.20017677
49.63044052,20.27498911,13.53485116,19.26972353
23.43975017,14.19188232,34.70822126,31.00988868
20.91539398,17.5088812,24.48524173,39.01093694
41.48151208,16.43371219,14.19372512,27.92773512
20.61602497,16.39592845,18.33131661,27.1091617
15.89074651,20.67916726,26.16013645,43.22465861
26.69667018,14.29684359,18.05729793,32.59145595
28.65137038,22.37943843,31.24208887,40.06397175
32.90060927,22.13837785,40.76083817,43.16666692
22.90892206,14.27054849,31.40643998,35.51280212
33.71520005,23.36511386,27.43071779,43.83941312
23.47394532,18.40250729,22.95234806,18.97408677
7.90803571,18.83181138,24.4974151,26.80491297
33.92152017,19.74055662,14.8498799,27.56550437
35.36808109,21.86124614,23.02090794,29.24680634
23.91945087,12.49186633,13.66392649,12.61688588
22.76591228,43.32510224,16.94105343,36.82617706
27.70898912,17.42065743,8.770296209,16.60287402
19.7306376,19.91851347,23.157273,46.21251439
24.80327455,13.05120034,19.830308,24.07075852
22.7465722,14.35703049,16.36962387,25.56867842
32.06706298,13.63471066,9.797197863,18.84212411
28.26030161,12.80513373,5.494719139,45.85221988
28.7496031,17.34653059,30.76801804,22.92030318
18.24864965,24.06889638,14.19441877,43.12168675
22.2662522,23.70747832,26.7195579,20.722169
39.9335824,15.32355894,18.00069097,32.82539188
16.73410976,25.01351213,26.73688897,29.02365047
28.85719589,34.48669804,20.28065109,20.69358894
31.84242438,23.85472978,11.81898651,24.04158187
17.45580278,19.44575672,13.85870357,20.8691686
23.84118046,22.92965999,17.26629537,33.53891917
21.54881889,18.40184701,24.02683391,30.47996783
23.70045956,12.64616038,10.36010012,19.87798467
22.74541297,12.63193244,17.11728353,23.55649153
22.58706688,25.36819916,18.78771139,27.66377114
25.33167198,26.05235987,17.09469342,21.05437647
57.05136737,11.87244977,34.32150603,32.60800164
36.13034382,28.89137241,27.24445322,25.15503773
26.80524986,10.28055034,13.7019107,28.35649329
33.07652379,17.03065642,21.15760238,30.64582792
26.84157683,20.30243653,30.27886038,24.74120506
37.47405387,23.86188994,21.78719204,33.09821102
20.52227728,47.48250603,17.48801539,41.48049234
42.95821737,30.04661141,15.69754814,31.69092694
36.11038008,9.989830758,16.36844066,28.34848169
27.01887315,31.61149075,6.792390182,36.31595067
29.81419619,24.59881214,16.80522166,35.51617014
25.99974348,25.90608712,17.76823628,32.71246771
32.19153691,22.47555984,5.872678666,32.07310924
15.21129583,19.38178542,6.727127989,43.7509943
51.62172837,24.12178509,19.57698947,25.0975146
26.80345523,22.99116454,22.77943855,60.91976421
32.61378271,28.3795458,12.28733934,25.73806657
21.1313534,46.20272015,17.21385366,31.11119393
33.94171458,22.67979044,17.18721443,18.14865305
32.32830597,19.35225627,8.923456752,20.19005043
35.90025533,43.63566695,22.88459076,37.85861703
42.81316058,19.26778473,17.76098393,27.60469367
30.76800889,15.66902611,14.89441953,35.50708061
20.36687463,37.24238722,14.48701574,20.97042635
29.86980859,22.02275573,19.81256129,39.00892095
22.84186865,25.41962335,27.02280961,37.55125191
44.2733633,13.05444709,27.01932494,33.40350319
16.41324343,29.5672367,17.81076097,35.67446833
41.38241018,33.61104829,31.59288222,31.78344934
